Nof commentators,Average Comments/commentators,Average length of comment (in words),Median length of comment (in words),Nof comments positive,Nof comments neutral,Nof comments negative,Tendency to positive comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to positive comments,Tendency to neutral comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to neutral comments,Tendency to negative comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to negative comments
668,1.1362275449101797,133.95520421607378,109,64,216,478,0.03358547655068079,1108,0.33358547655068077,9090,0.07881996974281393,3022
Text,Sentiment,main reaction amount,reaction amount,reactions,author
ich möcht auch eine Abstimmung um den Pendlerabzug bei den Steuern nicht zu begrenzen.,['neutral'],jetzt bewerten,0,0
endlich erkennt mich niemand mehr mit meiner Covid-Maske. Bin zwar hübsch aber die Schweizer sind Tagträumer.,['negative'],jetzt bewerten,0,0
Natürlich will mich ja nicht von einem vermummten Chirurgen Operieren lassen Ironie off. Habe aber wärend meiner vielen verschiedenen Reisen in Ägypten oft weniger vermummte gesehen als hier in der Schweiz und nicht Touristen.,['neutral'],jetzt bewerten,0,0
Natürlich will mich ja nicht von einem vermummten Chirurgen Operieren lassen Ironie off. Habe aber wärend meiner vielen verschiedenen Reisen in Ägypten oft weniger vermummte gesehen als hier in der Schweiz und nicht Touristen.,['neutral'],jetzt bewerten,0,0
Wir haben Regeln in unserem Land und diese sind einzuhalten ! Ansonsten bleiben Sie doch in Ihrer Heimat !,['neutral'],jetzt bewerten,0,0
Gab es dazu nicht bereits eine Abstimmung? Ich bin nun etwas verwirrt... Ist das eine alle 2 Jahre wiederkehrende Abstimmung? Dafür werden also meine Steuergelder verwendet... Cool!,['negative'],jetzt bewerten,0,0
"Aha Ausnahmen vom Verhüllungsverbot wären möglich und zwar in Gotteshäusern ... Soviel mal zur Unterdrückung der Frau und zum Thema ""Schutz vor Terroristen"" .... Ist es denn nicht der Glaube die Religion welche Frauen unterdrückt? Wenn eine Frau sich freiwillig entsprechend kleidet so sollte sie dies dürfen. Zudem sehe ich in der Stadt z.B. praktisch keine verhüllte Frau. Kantone welche dies bereits eingeführt haben büssen sehr wenige. Folglich scheint es wohl kein so grosses Problem zu sein welches der Rede wert ist. Allerdings kann es den Tourismus betreffen ...",['neutral'],jetzt bewerten,0,0
Sorry aber das ist nicht unsere Schweiz....,['negative'],jetzt bewerten,0,0
Die Schweiz hat sich so verändert das dies wohl der sicherste Weg ist unbehelligt sein Zeug zu erledigen,['neutral'],jetzt bewerten,0,0
Wie auf dem Campingplatz. Mit dem Unterschied dass sich das Zelt bewegt.,['neutral'],jetzt bewerten,0,0
