Nof commentators,Average Comments/commentators,Average length of comment (in words),Median length of comment (in words),Nof comments positive,Nof comments neutral,Nof comments negative,Tendency to positive comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to positive comments,Tendency to neutral comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to neutral comments,Tendency to negative comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to negative comments
27,1.2592592592592593,194.23529411764707,122.5,2,14,18,0.08333333333333333,210,0.33055555555555555,1015,0.5138888888888888,1295
Text,Sentiment,main reaction amount,reaction amount,reactions,author
darum habe ich nach 30jahren als AKP gekündet und werde nie mehr auf den beruf zurückgehendenn diese missstände sind laaange vor corona entstandendank der politik!,['neutral'],GENAU,163,181
Sagen wir es richtig Wir haben einen chronischen Pflegenotstand seit über 20 Jahren. OK im Moment spitzt sich das Ganze noch zu. Habe heute Nachtdienst. Werde ich die Sicherheit der Patienten gewährleisten können? Das wäre das zu erreichende Ziel. Mehr liegt schon seit Jahren leider nicht mehr drinn. Ich weiss wovon ich schreibe. Arbeite seit 40 Jahren als Pflegefachfrau. Bin sozusagen eine antike Rarität. Die Politiker hätten jahrzehnte lang Zeit gehabt das Gesundheitssystem nicht an die Wand zu fahren. Jetzt wo die Initiative da ist machen sie uns weise mit der Förderung der Ausbildung das Problem zu lösen. Also wir haben immer mehr als genug Auszubildende. Nach der Ausbildung ist dann aber meist Schluss mit arbeiten im Gesundheitswesen. Grund Bei diesen Arbeitsbedingungen wie chronische Unterbesetzung werden auch die Angestellten krank.,['negative'],GENAU,261,298
@CHwieSchweiz kann es aber auch sein dass nicht wenige aus unklaren Motiven die Ausbildung anfangen dann aber leider entdecken dass die Arbeit nicht nur aus idealisiertem Pflegen besteht? Dass sie davon abgeschreckt werden weil sie damit nicht gerechnet hatten?,['neutral'],QUATSCH,38,61
@gyoengyi. Sicherlich sind die meisten welche diesen Beruf wählen noch zu jung. War früher besser mit den entsprechenden Voraussetzungen. Heute wird mit ca 14 Jahren die weiche gestellt. Herbstschulanfang keine Praktiken. Somit ergibt sich nur ein unbedeutender Nutzen wenn man die Schulstätten weiter vergoldet. Dieses Geld versickert im Management und bei den Lehrkräften. Ergo gibt es keine Verbesserung für die wirklich Arbeitenden.,['negative'],GENAU,33,42
@Leser-li Bei der Initiative geht es zweitrangig um die Mitarbeitenden in der Pflege. Es geht darum dass eine qualitativ hochstehende Betreuung und Pflege eher auf dem Papier besteht als in der Realität. In der Realtität versucht man eine sichere Betreuung und Pflege anzustreben. Will damit Niemanden verunsichern. Es war einfach bis vor kurzer Zeit so dass die meisten sich nicht getrauten darüber zu sprechen.,['neutral'],QUATSCH,18,30
Wir sind vernünftig und stimmen Ja,['positive'],LOVE IT,106,163
es wären vermutlich die ersten welche sich dann aufregen wenn sie im Spital sind und lange warten müssen weil zu wenig Personal,['negative'],LOVE IT,85,126
Man weiss dass es ein Problem geben wird. Aber von mir bewusst gewollt. Die haben jahrelang geschlafen auf Gemeinde Oder Kantonsebene. Es soll ja Probleme geben vielleicht rüttelt es dann etwas auf?! Zu hoffen wäre es…,['positive'],GENAU,36,47
Nur dass die Kantone jahrelang nix null und nada gemacht haben. Weder mehr Lohn noch die Bedingungen verbessert. Schlicht und einfach gat nichts. Und deshalb muss eben halt der Bund das Szepter in die Hand nehmen! Vielleichtnutzt das was?!,['negative'],GENAU,65,87
Nur eine noch bessere Bezahlung wird das Problem nicht lösen!,['neutral'],GENAU,47,76
